Alias	UniprotID	PFAM_domain	E-value_domain	Domain_description	Target_name	From_coordinate	To_coordinate	E-value_full_sequence	c-Evalue_domain	i-Evalue_domain	Description	Target_uniprot
AccR|P32104	P32104	DeoRC	9.7e-49	DeoR C terminal sensor domain	AAT82056.1	121	256	8.9e-29	3.8e-31	1.5000000000000002e-28	 -	Q6AB10
AccR|P32104	P32104	HTH_DeoR	6.1e-21	DeoR-like helix-turn-helix domain	AAT82056.1	51	105	6.7e-10	6.4e-12	1.5e-09	 -	Q6AB10
AccR|P32104	P32104	DeoRC	9.7e-49	DeoR C terminal sensor domain	AAT81820.1	52	207	8e-41	2.5999999999999996e-43	1e-40	 -	Q6ABK0
AccR|P32104	P32104	HTH_DeoR	6.1e-21	DeoR-like helix-turn-helix domain	AAT81820.1	2	42	7e-10	5e-12	1.2e-09	 -	Q6ABK0
AccR|P32104	P32104	DeoRC	9.7e-49	DeoR C terminal sensor domain	AAT84030.1	85	240	3.5e-47	1.4e-49	5.5e-47	 -	Q6A5D3
AccR|P32104	P32104	HTH_DeoR	6.1e-21	DeoR-like helix-turn-helix domain	AAT84030.1	15	67	9.1e-14	7.3e-16	1.7e-13	 -	Q6A5D3
AccR|P32104	P32104	DeoRC	9.7e-49	DeoR C terminal sensor domain	AAT82762.1	84	241	3.2e-42	1e-44	3.9999999999999995e-42	 -	Q6A904
AccR|P32104	P32104	HTH_DeoR	6.1e-21	DeoR-like helix-turn-helix domain	AAT82762.1	15	67	4e-13	4.8e-15	1.1e-12	 -	Q6A904
AccR|P32104	P32104	DeoRC	9.7e-49	DeoR C terminal sensor domain	AAT81792.1	74	229	9.4e-32	3.1000000000000002e-34	1.2e-31	 -	Q6ABT6
AccR|P32104	P32104	HTH_DeoR	6.1e-21	DeoR-like helix-turn-helix domain	AAT81792.1	19	58	1.3e-12	1.1e-14	2.5e-12	 -	Q6ABT6
AceR|P0DUU5	P0DUU5	HTH_1	3.8e-17	Bacterial regulatory helix-turn-helix protein, ...	AAT83707.1	3	62	1.9e-20	3.6e-23	4.2e-20	 -	Q6A6A6
AceR|P0DUU5	P0DUU5	LysR_substrate	3.8e-21	LysR substrate binding domain	AAT83707.1	92	293	1.5e-42	2.1e-45	2.4e-42	 -	Q6A6A6
AcnR|Q8NQ97	Q8NQ97	TetR_N	2.9e-16	Bacterial regulatory proteins, tetR family	AAT81830.1	84	124	1.7e-13	1.9e-15	3.6e-13	 -	Q6ABN5
AcnR|Q8NQ97	Q8NQ97	TetR_C_6	0.00027	BetI-type transcriptional repressor, C-terminal	AAT81830.1	73	91	0.00043	0.45	510.0	 -	Q6ABN5
AcnR|Q8NQ97	Q8NQ97	TetR_C_6	0.00027	BetI-type transcriptional repressor, C-terminal	AAT81830.1	155	260	0.00043	3.7e-07	0.00043	 -	Q6ABN5
AcnR|Q8NQ97	Q8NQ97	TetR_N	2.9e-16	Bacterial regulatory proteins, tetR family	AAT82954.1	17	62	2.7e-12	4.8e-14	9.3e-12	 -	Q6A8G1
AcnR|Q8NQ97	Q8NQ97	TetR_N	2.9e-16	Bacterial regulatory proteins, tetR family	AAT82954.1	129	143	2.7e-12	1.6	300.0	 -	Q6A8G1
AcnR|Q8NQ97	Q8NQ97	TetR_C_6	0.00027	BetI-type transcriptional repressor, C-terminal	AAT82954.1	113	205	0.00071	1.2e-06	0.0014	 -	Q6A8G1
AcrR|P0ACS9	P0ACS9	TetR_N	1.4e-19	Bacterial regulatory proteins, tetR family	AAT82786.1	24	70	1.1e-09	1.4e-11	2.7e-09	 -	Q6A8Y0
AcrR|P0ACS9	P0ACS9	TetR_N	1.4e-19	Bacterial regulatory proteins, tetR family	AAT82954.1	17	62	2.7e-12	4.8e-14	9.3e-12	 -	Q6A8G1
AcrR|P0ACS9	P0ACS9	TetR_N	1.4e-19	Bacterial regulatory proteins, tetR family	AAT82954.1	129	143	2.7e-12	1.6	300.0	 -	Q6A8G1
AcrR|P0ACS9	P0ACS9	TetR_N	1.4e-19	Bacterial regulatory proteins, tetR family	AAT83787.1	23	57	1.3e-08	1.4e-10	2.6e-08	 -	Q6A626
AcrR|P0ACS9	P0ACS9	TetR_N	1.4e-19	Bacterial regulatory proteins, tetR family	AAT83157.1	25	69	1.3e-10	1e-12	1.9e-10	 -	Q6A7V8
AcrR|P0ACS9	P0ACS9	TetR_N	1.4e-19	Bacterial regulatory proteins, tetR family	AAT82282.1	27	71	1.5e-18	1.5e-20	2.8e-18	 -	Q6AAD4
AcrR|P0ACS9	P0ACS9	TetR_N	1.4e-19	Bacterial regulatory proteins, tetR family	AAT82586.1	13	55	8.5e-15	8.1e-17	1.6e-14	 -	Q6A9I0
AcrR|P0ACS9	P0ACS9	TetR_N	1.4e-19	Bacterial regulatory proteins, tetR family	AAT82391.1	16	62	7e-07	7.3e-09	1.4e-06	 -	Q6AA25
AcrR|P0ACS9	P0ACS9	TetR_N	1.4e-19	Bacterial regulatory proteins, tetR family	AAT81830.1	84	124	1.7e-13	1.9e-15	3.6e-13	 -	Q6ABN5
AcrR|P0ACS9	P0ACS9	TetR_N	1.4e-19	Bacterial regulatory proteins, tetR family	AAT82922.1	25	71	7.3e-13	5.3e-15	1e-12	 -	Q6A8J3
AcrR|P0ACS9	P0ACS9	TetR_N	1.4e-19	Bacterial regulatory proteins, tetR family	AAT82922.1	192	201	7.3e-13	5.3	1000.0	 -	Q6A8J3
AcrR|P0ACS9	P0ACS9	TetR_N	1.4e-19	Bacterial regulatory proteins, tetR family	AAT83962.1	25	69	6.3e-09	9.1e-11	1.7e-08	 -	Q6A5K1
AcrR|P0ACS9	P0ACS9	TetR_N	1.4e-19	Bacterial regulatory proteins, tetR family	AAT82597.1	2	24	0.00095	1.3e-05	0.0025	 -	Q6A9G9
AcrR|P0ACS9	P0ACS9	TetR_N	1.4e-19	Bacterial regulatory proteins, tetR family	AAT82597.1	38	43	0.00095	2.0	380.0	 -	Q6A9G9
AcrR|P0ACS9	P0ACS9	TetR_N	1.4e-19	Bacterial regulatory proteins, tetR family	AAT84034.1	8	32	0.00045	5e-06	0.00097	 -	Q6A5C9
AcrT|A4FGS6	A4FGS6	TetR_N	1.7e-17	Bacterial regulatory proteins, tetR family	AAT82786.1	24	70	1.1e-09	1.4e-11	2.7e-09	 -	Q6A8Y0
AcrT|A4FGS6	A4FGS6	TetR_N	9800.0	Bacterial regulatory proteins, tetR family	AAT82786.1	24	70	1.1e-09	1.4e-11	2.7e-09	 -	Q6A8Y0
AcrT|A4FGS6	A4FGS6	TetR_N	6000.0	Bacterial regulatory proteins, tetR family	AAT82786.1	24	70	1.1e-09	1.4e-11	2.7e-09	 -	Q6A8Y0
AcrT|A4FGS6	A4FGS6	TetR_N	1.7e-17	Bacterial regulatory proteins, tetR family	AAT82954.1	17	62	2.7e-12	4.8e-14	9.3e-12	 -	Q6A8G1
AcrT|A4FGS6	A4FGS6	TetR_N	1.7e-17	Bacterial regulatory proteins, tetR family	AAT82954.1	129	143	2.7e-12	1.6	300.0	 -	Q6A8G1
AcrT|A4FGS6	A4FGS6	TetR_N	9800.0	Bacterial regulatory proteins, tetR family	AAT82954.1	17	62	2.7e-12	4.8e-14	9.3e-12	 -	Q6A8G1
AcrT|A4FGS6	A4FGS6	TetR_N	9800.0	Bacterial regulatory proteins, tetR family	AAT82954.1	129	143	2.7e-12	1.6	300.0	 -	Q6A8G1
AcrT|A4FGS6	A4FGS6	TetR_N	6000.0	Bacterial regulatory proteins, tetR family	AAT82954.1	17	62	2.7e-12	4.8e-14	9.3e-12	 -	Q6A8G1
AcrT|A4FGS6	A4FGS6	TetR_N	6000.0	Bacterial regulatory proteins, tetR family	AAT82954.1	129	143	2.7e-12	1.6	300.0	 -	Q6A8G1
AcrT|A4FGS6	A4FGS6	TetR_N	1.7e-17	Bacterial regulatory proteins, tetR family	AAT83787.1	23	57	1.3e-08	1.4e-10	2.6e-08	 -	Q6A626
AcrT|A4FGS6	A4FGS6	TetR_N	9800.0	Bacterial regulatory proteins, tetR family	AAT83787.1	23	57	1.3e-08	1.4e-10	2.6e-08	 -	Q6A626
AcrT|A4FGS6	A4FGS6	TetR_N	6000.0	Bacterial regulatory proteins, tetR family	AAT83787.1	23	57	1.3e-08	1.4e-10	2.6e-08	 -	Q6A626
AcrT|A4FGS6	A4FGS6	TetR_N	1.7e-17	Bacterial regulatory proteins, tetR family	AAT83157.1	25	69	1.3e-10	1e-12	1.9e-10	 -	Q6A7V8
AcrT|A4FGS6	A4FGS6	TetR_N	9800.0	Bacterial regulatory proteins, tetR family	AAT83157.1	25	69	1.3e-10	1e-12	1.9e-10	 -	Q6A7V8
AcrT|A4FGS6	A4FGS6	TetR_N	6000.0	Bacterial regulatory proteins, tetR family	AAT83157.1	25	69	1.3e-10	1e-12	1.9e-10	 -	Q6A7V8
AcrT|A4FGS6	A4FGS6	TetR_N	1.7e-17	Bacterial regulatory proteins, tetR family	AAT82282.1	27	71	1.5e-18	1.5e-20	2.8e-18	 -	Q6AAD4
AcrT|A4FGS6	A4FGS6	TetR_N	9800.0	Bacterial regulatory proteins, tetR family	AAT82282.1	27	71	1.5e-18	1.5e-20	2.8e-18	 -	Q6AAD4
AcrT|A4FGS6	A4FGS6	TetR_N	6000.0	Bacterial regulatory proteins, tetR family	AAT82282.1	27	71	1.5e-18	1.5e-20	2.8e-18	 -	Q6AAD4
AcrT|A4FGS6	A4FGS6	TetR_N	1.7e-17	Bacterial regulatory proteins, tetR family	AAT82586.1	13	55	8.5e-15	8.1e-17	1.6e-14	 -	Q6A9I0
AcrT|A4FGS6	A4FGS6	TetR_N	9800.0	Bacterial regulatory proteins, tetR family	AAT82586.1	13	55	8.5e-15	8.1e-17	1.6e-14	 -	Q6A9I0
AcrT|A4FGS6	A4FGS6	TetR_N	6000.0	Bacterial regulatory proteins, tetR family	AAT82586.1	13	55	8.5e-15	8.1e-17	1.6e-14	 -	Q6A9I0
AcrT|A4FGS6	A4FGS6	TetR_N	1.7e-17	Bacterial regulatory proteins, tetR family	AAT82391.1	16	62	7e-07	7.3e-09	1.4e-06	 -	Q6AA25
AcrT|A4FGS6	A4FGS6	TetR_N	9800.0	Bacterial regulatory proteins, tetR family	AAT82391.1	16	62	7e-07	7.3e-09	1.4e-06	 -	Q6AA25
AcrT|A4FGS6	A4FGS6	TetR_N	6000.0	Bacterial regulatory proteins, tetR family	AAT82391.1	16	62	7e-07	7.3e-09	1.4e-06	 -	Q6AA25
AcrT|A4FGS6	A4FGS6	TetR_N	1.7e-17	Bacterial regulatory proteins, tetR family	AAT81830.1	84	124	1.7e-13	1.9e-15	3.6e-13	 -	Q6ABN5
AcrT|A4FGS6	A4FGS6	TetR_N	9800.0	Bacterial regulatory proteins, tetR family	AAT81830.1	84	124	1.7e-13	1.9e-15	3.6e-13	 -	Q6ABN5
AcrT|A4FGS6	A4FGS6	TetR_N	6000.0	Bacterial regulatory proteins, tetR family	AAT81830.1	84	124	1.7e-13	1.9e-15	3.6e-13	 -	Q6ABN5
AcrT|A4FGS6	A4FGS6	TetR_N	1.7e-17	Bacterial regulatory proteins, tetR family	AAT82922.1	25	71	7.3e-13	5.3e-15	1e-12	 -	Q6A8J3
AcrT|A4FGS6	A4FGS6	TetR_N	1.7e-17	Bacterial regulatory proteins, tetR family	AAT82922.1	192	201	7.3e-13	5.3	1000.0	 -	Q6A8J3
AcrT|A4FGS6	A4FGS6	TetR_N	9800.0	Bacterial regulatory proteins, tetR family	AAT82922.1	25	71	7.3e-13	5.3e-15	1e-12	 -	Q6A8J3
AcrT|A4FGS6	A4FGS6	TetR_N	9800.0	Bacterial regulatory proteins, tetR family	AAT82922.1	192	201	7.3e-13	5.3	1000.0	 -	Q6A8J3
AcrT|A4FGS6	A4FGS6	TetR_N	6000.0	Bacterial regulatory proteins, tetR family	AAT82922.1	25	71	7.3e-13	5.3e-15	1e-12	 -	Q6A8J3
AcrT|A4FGS6	A4FGS6	TetR_N	6000.0	Bacterial regulatory proteins, tetR family	AAT82922.1	192	201	7.3e-13	5.3	1000.0	 -	Q6A8J3
AcrT|A4FGS6	A4FGS6	TetR_N	1.7e-17	Bacterial regulatory proteins, tetR family	AAT83962.1	25	69	6.3e-09	9.1e-11	1.7e-08	 -	Q6A5K1
AcrT|A4FGS6	A4FGS6	TetR_N	9800.0	Bacterial regulatory proteins, tetR family	AAT83962.1	25	69	6.3e-09	9.1e-11	1.7e-08	 -	Q6A5K1
AcrT|A4FGS6	A4FGS6	TetR_N	6000.0	Bacterial regulatory proteins, tetR family	AAT83962.1	25	69	6.3e-09	9.1e-11	1.7e-08	 -	Q6A5K1
AcrT|A4FGS6	A4FGS6	TetR_N	1.7e-17	Bacterial regulatory proteins, tetR family	AAT82597.1	2	24	0.00095	1.3e-05	0.0025	 -	Q6A9G9
AcrT|A4FGS6	A4FGS6	TetR_N	1.7e-17	Bacterial regulatory proteins, tetR family	AAT82597.1	38	43	0.00095	2.0	380.0	 -	Q6A9G9
AcrT|A4FGS6	A4FGS6	TetR_N	9800.0	Bacterial regulatory proteins, tetR family	AAT82597.1	2	24	0.00095	1.3e-05	0.0025	 -	Q6A9G9
AcrT|A4FGS6	A4FGS6	TetR_N	9800.0	Bacterial regulatory proteins, tetR family	AAT82597.1	38	43	0.00095	2.0	380.0	 -	Q6A9G9
AcrT|A4FGS6	A4FGS6	TetR_N	6000.0	Bacterial regulatory proteins, tetR family	AAT82597.1	2	24	0.00095	1.3e-05	0.0025	 -	Q6A9G9
AcrT|A4FGS6	A4FGS6	TetR_N	6000.0	Bacterial regulatory proteins, tetR family	AAT82597.1	38	43	0.00095	2.0	380.0	 -	Q6A9G9
AcrT|A4FGS6	A4FGS6	TetR_N	1.7e-17	Bacterial regulatory proteins, tetR family	AAT84034.1	8	32	0.00045	5e-06	0.00097	 -	Q6A5C9
AcrT|A4FGS6	A4FGS6	TetR_N	9800.0	Bacterial regulatory proteins, tetR family	AAT84034.1	8	32	0.00045	5e-06	0.00097	 -	Q6A5C9
AcrT|A4FGS6	A4FGS6	TetR_N	6000.0	Bacterial regulatory proteins, tetR family	AAT84034.1	8	32	0.00045	5e-06	0.00097	 -	Q6A5C9
ActII_ActR|A0A7K2UKB8	A0A7K2UKB8	TetR_C_1	1e-46	Tetracyclin repressor-like, C-terminal domain	AAT83157.1	84	171	6.2e-10	2.9e-12	6.7e-09	 -	Q6A7V8
ActII_ActR|A0A7K2UKB8	A0A7K2UKB8	TetR_C_1	1e-46	Tetracyclin repressor-like, C-terminal domain	AAT83157.1	184	200	6.2e-10	0.015	34.0	 -	Q6A7V8
ActII_ActR|A0A7K2UKB8	A0A7K2UKB8	TetR_N	3.8e-06	Bacterial regulatory proteins, tetR family	AAT83157.1	25	69	1.3e-10	1e-12	1.9e-10	 -	Q6A7V8
ActR|Q53901	Q53901	TetR_C_1	1e-46	Tetracyclin repressor-like, C-terminal domain	AAT83157.1	84	171	6.2e-10	2.9e-12	6.7e-09	 -	Q6A7V8
ActR|Q53901	Q53901	TetR_C_1	1e-46	Tetracyclin repressor-like, C-terminal domain	AAT83157.1	184	200	6.2e-10	0.015	34.0	 -	Q6A7V8
ActR|Q53901	Q53901	TetR_N	3.8e-06	Bacterial regulatory proteins, tetR family	AAT83157.1	25	69	1.3e-10	1e-12	1.9e-10	 -	Q6A7V8
AcuR|Q3J6K8	Q3J6K8	TetR_N	2.1e-12	Bacterial regulatory proteins, tetR family	AAT82786.1	24	70	1.1e-09	1.4e-11	2.7e-09	 -	Q6A8Y0
AcuR|Q3J6K8	Q3J6K8	TetR_N	2.1e-12	Bacterial regulatory proteins, tetR family	AAT82954.1	17	62	2.7e-12	4.8e-14	9.3e-12	 -	Q6A8G1
AcuR|Q3J6K8	Q3J6K8	TetR_N	2.1e-12	Bacterial regulatory proteins, tetR family	AAT82954.1	129	143	2.7e-12	1.6	300.0	 -	Q6A8G1
AcuR|Q3J6K8	Q3J6K8	TetR_N	2.1e-12	Bacterial regulatory proteins, tetR family	AAT83787.1	23	57	1.3e-08	1.4e-10	2.6e-08	 -	Q6A626
AcuR|Q3J6K8	Q3J6K8	TetR_N	2.1e-12	Bacterial regulatory proteins, tetR family	AAT83157.1	25	69	1.3e-10	1e-12	1.9e-10	 -	Q6A7V8
AcuR|Q3J6K8	Q3J6K8	TetR_N	2.1e-12	Bacterial regulatory proteins, tetR family	AAT82282.1	27	71	1.5e-18	1.5e-20	2.8e-18	 -	Q6AAD4
AcuR|Q3J6K8	Q3J6K8	TetR_N	2.1e-12	Bacterial regulatory proteins, tetR family	AAT82586.1	13	55	8.5e-15	8.1e-17	1.6e-14	 -	Q6A9I0
AcuR|Q3J6K8	Q3J6K8	TetR_N	2.1e-12	Bacterial regulatory proteins, tetR family	AAT82391.1	16	62	7e-07	7.3e-09	1.4e-06	 -	Q6AA25
AcuR|Q3J6K8	Q3J6K8	TetR_N	2.1e-12	Bacterial regulatory proteins, tetR family	AAT81830.1	84	124	1.7e-13	1.9e-15	3.6e-13	 -	Q6ABN5
AcuR|Q3J6K8	Q3J6K8	TetR_N	2.1e-12	Bacterial regulatory proteins, tetR family	AAT82922.1	25	71	7.3e-13	5.3e-15	1e-12	 -	Q6A8J3
AcuR|Q3J6K8	Q3J6K8	TetR_N	2.1e-12	Bacterial regulatory proteins, tetR family	AAT82922.1	192	201	7.3e-13	5.3	1000.0	 -	Q6A8J3
AcuR|Q3J6K8	Q3J6K8	TetR_N	2.1e-12	Bacterial regulatory proteins, tetR family	AAT83962.1	25	69	6.3e-09	9.1e-11	1.7e-08	 -	Q6A5K1
AcuR|Q3J6K8	Q3J6K8	TetR_N	2.1e-12	Bacterial regulatory proteins, tetR family	AAT82597.1	2	24	0.00095	1.3e-05	0.0025	 -	Q6A9G9
AcuR|Q3J6K8	Q3J6K8	TetR_N	2.1e-12	Bacterial regulatory proteins, tetR family	AAT82597.1	38	43	0.00095	2.0	380.0	 -	Q6A9G9
AcuR|Q3J6K8	Q3J6K8	TetR_N	2.1e-12	Bacterial regulatory proteins, tetR family	AAT84034.1	8	32	0.00045	5e-06	0.00097	 -	Q6A5C9
Ada|P06134	P06134	DNA_binding_1	5.5e-32	6-O-methylguanine DNA methyltransferase, DNA bi...	AAT82466.1	7	64	5.2e-11	5.6e-14	6.5e-11	 -	Q6A9V0
Ada|P06134	P06134	DNA_binding_1	5.5e-32	6-O-methylguanine DNA methyltransferase, DNA bi...	AAT83177.1	88	168	3.9e-30	4.8e-33	5.5000000000000005e-30	 -	Q6A7T8
AdmX|P0DV33	P0DV33	LysR_substrate	7.4e-23	LysR substrate binding domain	AAT83707.1	92	293	1.5e-42	2.1e-45	2.4e-42	 -	Q6A6A6
AdmX|P0DV33	P0DV33	HTH_1	4.4e-16	Bacterial regulatory helix-turn-helix protein, ...	AAT83707.1	3	62	1.9e-20	3.6e-23	4.2e-20	 -	Q6A6A6
AdpA|Q9L062	Q9L062	DJ-1_PfpI	6.2e-15	DJ-1/PfpI family	AAT83858.1	47	219	1.7e-48	4.3e-51	2e-48	 -	Q6A5V5
AdpA|Q9L062	Q9L062	DJ-1_PfpI	6.2e-15	DJ-1/PfpI family	AAT82170.1	271	343	4.4e-06	1.8e-08	8.2e-06	 -	Q6AAP6
AdpA|Q9L062	Q9L062	DJ-1_PfpI	6.2e-15	DJ-1/PfpI family	AAT82719.1	36	88	2.8e-05	8e-08	3.7e-05	 -	Q6A947
AdpA|Q9L062	Q9L062	DJ-1_PfpI	6.2e-15	DJ-1/PfpI family	AAT82336.1	26	222	1.2e-12	3.3e-14	1.5e-11	 -	Q6AA80
AdpA|Q9L062	Q9L062	DJ-1_PfpI	6.2e-15	DJ-1/PfpI family	AAT83703.1	41	101	1.1e-06	4.3e-09	2e-06	 -	Q6A6B0
AgrA|P0A0I7	P0A0I7	Response_reg	1.5999999999999999e-24	Response regulator receiver domain	AAT82700.1	6	114	9e-28	7.5e-30	1.3e-27	 -	Q6A966
AgrA|P0A0I7	P0A0I7	Response_reg	1.5999999999999999e-24	Response regulator receiver domain	AAT83087.1	10	119	4.1e-29	3.5e-31	6.199999999999999e-29	 -	Q6A828
AgrA|P0A0I7	P0A0I7	Response_reg	1.5999999999999999e-24	Response regulator receiver domain	AAT83756.1	20	129	1.7e-25	1.4e-27	2.5e-25	 -	Q6A657
AgrA|P0A0I7	P0A0I7	Response_reg	1.5999999999999999e-24	Response regulator receiver domain	AAT82167.1	10	120	3.8e-23	2.9e-25	5.2e-23	 -	Q6AAP9
AgrA|P0A0I7	P0A0I7	Response_reg	1.5999999999999999e-24	Response regulator receiver domain	AAT82679.1	3	111	1.5e-27	1.5999999999999999e-29	2.8e-27	 -	Q6A987
AgrA|P0A0I7	P0A0I7	Response_reg	1.5999999999999999e-24	Response regulator receiver domain	AAT82471.1	26	115	0.00014	8.8e-07	0.00015	 -	Q6A9U5
AgrA|P0A0I7	P0A0I7	Response_reg	1.5999999999999999e-24	Response regulator receiver domain	AAT82114.1	4	113	2.0000000000000002e-29	1.5999999999999999e-31	2.8999999999999997e-29	 -	Q6AAV2
AgrA|P0A0I7	P0A0I7	Response_reg	1.5999999999999999e-24	Response regulator receiver domain	AAT81879.1	3	112	1.5000000000000002e-28	1.7e-30	2.9e-28	 -	Q6ABI8
