identifier_target_name	identifier_target_accession	identifier_target_length	identifier_query_name	identifier_query_accession	identifier_query_length	full_sequence_e-value	full_sequence_score	full_sequence_bias	this_domain_domain_number	this_domain_total_domains	this_domain_e-value	this_domain_i-value	this_domain_score	this_domain_bias	hmm_coord_from	hmm_coord_to	ali_coord_from	ali_coord_to	env_coord_from	env_coord_to	identifier_acc	identifier_query_description
MarR_2	PF12802.10	61	tr|Q9XAM6|Q9XAM6_STRCO	-	154	1.6e-10	41.0	0.9	2	3	4e-14	1.6e-10	41.0	0.9	4	61	34	90	32	90	0.97	MarR family
MarR_2	PF12802.10	61	tr|Q9XAM6|Q9XAM6_STRCO	-	154	1.6e-10	41.0	0.9	3	3	2.8	1.1e+04	-3.3	0.0	49	56	132	139	131	142	0.66	MarR family
GntR	PF00392.24	64	tr|Q88IU1|Q88IU1_PSEPK	-	231	1.4e-13	50.4	0.3	1	2	3.9e-17	3.8e-13	49.0	0.0	6	64	15	72	14	72	0.98	Bacterial regulatory proteins, gntR family
FCD	PF07729.15	125	tr|Q88IU1|Q88IU1_PSEPK	-	231	6.4e-21	75.2	11.8	2	2	6.5e-25	6.4e-21	75.2	11.8	1	123	82	212	82	214	0.96	FCD domain
HTH_IclR	PF09339.13	52	sp|P77569|MHPR_ECOLI	-	277	2.1e-15	56.4	1.7	1	1	2.8e-18	6.8e-15	54.8	1.7	2	52	15	65	14	65	0.97	IclR helix-turn-helix domain
IclR	PF01614.21	128	tr|Q0SFL4|Q0SFL4_RHOJR	-	276	2.9e-14	53.2	0.1	1	1	6.1e-18	4e-14	52.7	0.1	4	126	141	261	138	263	0.89	Bacterial transcriptional regulator
HTH_IclR	PF09339.13	52	tr|Q0SFL4|Q0SFL4_RHOJR	-	276	8.8e-12	44.8	0.8	1	2	2.5e-15	1.7e-11	43.9	0.3	1	51	24	74	24	75	0.95	IclR helix-turn-helix domain
HTH_5	PF01022.23	47	tr|Q0SFL4|Q0SFL4_RHOJR	-	276	0.00037	20.4	0.0	2	2	0.29	1.9e+03	-1.1	0.0	32	41	103	112	100	113	0.84	Bacterial regulatory protein, arsR family
IclR	PF01614.21	128	tr|A0R727|A0R727_MYCS2	-	253	1.3e-28	99.5	0.0	1	1	1.9e-32	1.9e-28	99.1	0.0	4	127	123	245	120	246	0.91	Bacterial transcriptional regulator
HTH_IclR	PF09339.13	52	tr|A0R727|A0R727_MYCS2	-	253	7e-15	54.7	0.8	1	3	7.1e-19	7e-15	54.7	0.8	1	51	7	57	7	58	0.98	IclR helix-turn-helix domain
IclR	PF01614.21	128	tr|C4TNS6|C4TNS6_9BURK	-	262	1.3e-18	67.3	0.0	1	1	4.6e-22	3e-18	66.1	0.0	6	127	139	253	134	254	0.91	Bacterial transcriptional regulator
HTH_IclR	PF09339.13	52	tr|C4TNS6|C4TNS6_9BURK	-	262	4.3e-10	39.4	0.2	1	1	1.3e-13	8.5e-10	38.4	0.2	1	50	20	69	20	71	0.96	IclR helix-turn-helix domain
TetR_C_2	PF08361.14	121	sp|Q9AIU0|TTGR_PSEPT	-	210	8.2e-31	106.8	0.0	1	1	2e-34	1.3e-30	106.1	0.0	1	120	84	203	84	204	0.99	MAATS-type transcriptional repressor, C-terminal region
TetR_N	PF00440.26	47	sp|Q9AIU0|TTGR_PSEPT	-	210	3.4e-18	65.3	0.6	1	1	9.2e-22	6.1e-18	64.5	0.6	1	47	16	62	16	62	0.98	Bacterial regulatory proteins, tetR family
IclR	PF01614.21	128	tr|A4ZXZ2|A4ZXZ2_9NOCA	-	268	8.1e-28	97.0	0.6	1	1	1.9e-31	1.3e-27	96.4	0.6	3	126	141	264	139	266	0.97	Bacterial transcriptional regulator
HTH_IclR	PF09339.13	52	tr|A4ZXZ2|A4ZXZ2_9NOCA	-	268	7.2e-14	51.5	1.1	1	2	3.7e-17	2.4e-13	49.8	0.6	1	52	26	76	26	76	0.98	IclR helix-turn-helix domain
HTH_IclR	PF09339.13	52	tr|A4ZXZ2|A4ZXZ2_9NOCA	-	268	7.2e-14	51.5	1.1	2	2	0.75	4.9e+03	-2.4	0.0	34	44	103	113	94	115	0.67	IclR helix-turn-helix domain
MarR_2	PF12802.10	61	tr|A4ZXZ2|A4ZXZ2_9NOCA	-	268	7.7e-05	22.8	1.7	2	3	0.48	3.1e+03	-1.6	0.0	15	17	122	124	98	147	0.58	MarR family
IclR	PF01614.21	128	sp|O83046|PCAU_ACIAD	-	278	8.3e-45	151.9	0.0	1	1	1.3e-48	1.3e-44	151.3	0.0	4	127	152	276	149	277	0.97	Bacterial transcriptional regulator
HTH_IclR	PF09339.13	52	sp|O83046|PCAU_ACIAD	-	278	1.9e-13	50.1	0.9	1	2	4.8e-17	4.7e-13	48.9	0.1	2	52	34	84	33	84	0.97	IclR helix-turn-helix domain
HTH_IclR	PF09339.13	52	tr|Q5D0X8|Q5D0X8_COMTE	-	254	6.2e-13	48.5	1.3	1	3	6.3e-17	6.2e-13	48.5	1.3	1	52	9	60	9	60	0.98	IclR helix-turn-helix domain
IclR	PF01614.21	128	tr|Q5D0X8|Q5D0X8_COMTE	-	254	1.4e-31	109.2	0.0	2	2	3.4e-35	3.3e-31	107.9	0.0	5	127	125	248	121	249	0.96	Bacterial transcriptional regulator
HTH_IclR	PF09339.13	52	tr|Q5D0X8|Q5D0X8_COMTE	-	254	6.2e-13	48.5	1.3	2	3	0.044	4.3e+02	0.9	1.0	8	40	89	124	88	125	0.57	IclR helix-turn-helix domain
TetR_C_1	PF02909.20	145	sp|P0ACT4|TETR4_ECOLX	-	218	1.7e-42	144.7	0.2	1	1	2.6e-46	2.5e-42	144.2	0.2	1	144	68	200	68	201	0.98	Tetracyclin repressor-like, C-terminal domain
TetR_N	PF00440.26	47	sp|P0ACT4|TETR4_ECOLX	-	218	4.3e-13	49.0	0.0	1	1	7.2e-17	7.1e-13	48.3	0.0	2	47	10	55	9	55	0.97	Bacterial regulatory proteins, tetR family
TetR_N	PF00440.26	47	sp|P17446|BETI_ECOLI	-	195	7.4e-15	54.6	0.3	1	2	2.1e-18	2.1e-14	53.2	0.0	1	46	14	59	14	66	0.98	Bacterial regulatory proteins, tetR family
TetR_C_6	PF13977.9	115	sp|P17446|BETI_ECOLI	-	195	2.2e-27	95.7	1.2	2	2	2.2e-31	2.2e-27	95.7	1.2	2	114	85	192	84	193	0.97	BetI-type transcriptional repressor, C-terminal
Autoind_bind	PF03472.18	149	sp|P54293|ESAR_PANSE	-	249	1.2e-26	93.1	0.0	1	1	5.2e-30	1.7e-26	92.6	0.0	3	148	13	157	12	158	0.95	Autoinducer binding domain
GerE	PF00196.22	57	sp|P54293|ESAR_PANSE	-	249	2.9e-15	55.7	0.1	1	1	1.7e-18	5.6e-15	54.8	0.1	2	56	180	234	179	234	0.97	Bacterial regulatory proteins, luxR family
FCD	PF07729.15	125	tr|Q2KKB8|Q2KKB8_ENTFL	-	231	2.4e-13	50.7	0.2	1	1	3.3e-17	3.2e-13	50.3	0.2	1	124	92	215	92	216	0.99	FCD domain
GntR	PF00392.24	64	tr|Q2KKB8|Q2KKB8_ENTFL	-	231	1.4e-12	47.2	0.0	1	2	5.7e-16	5.5e-12	45.3	0.0	6	64	25	82	23	82	0.97	Bacterial regulatory proteins, gntR family
MarR_2	PF12802.10	61	sp|O07458|BADR_RHOPA	-	175	2e-14	53.5	0.4	1	1	6e-18	4e-14	52.5	0.4	2	61	46	107	45	107	0.95	MarR family
TetR_C_13	PF16925.8	115	sp|Q3J6K8|ACUR_CERS4	-	219	1.9e-45	153.6	0.0	1	1	4.5e-49	3e-45	153.0	0.0	1	113	100	212	100	214	0.98	Tetracyclin repressor-like, C-terminal domain
TetR_N	PF00440.26	47	sp|Q3J6K8|ACUR_CERS4	-	219	1.4e-12	47.4	0.8	1	2	3.3e-16	2.1e-12	46.7	0.1	1	43	32	74	32	78	0.94	Bacterial regulatory proteins, tetR family
TetR_N	PF00440.26	47	tr|A4FGS6|A4FGS6_SACEN	-	212	1.7e-17	63.1	0.0	1	3	8.5e-22	1.7e-17	63.1	0.0	1	45	21	65	21	66	0.96	Bacterial regulatory proteins, tetR family
TetR_N	PF00440.26	47	tr|A4FGS6|A4FGS6_SACEN	-	212	1.7e-17	63.1	0.0	2	3	0.5	9.8e+03	-3.4	0.1	32	37	90	95	90	96	0.87	Bacterial regulatory proteins, tetR family
TetR_N	PF00440.26	47	tr|A4FGS6|A4FGS6_SACEN	-	212	1.7e-17	63.1	0.0	3	3	0.3	6e+03	-2.7	0.1	18	31	138	151	134	152	0.75	Bacterial regulatory proteins, tetR family
LysR_substrate	PF03466.23	209	sp|Q00678|NOCR_AGRFC	-	300	4.2e-36	124.5	0.1	1	1	5.9e-40	5.8e-36	124.0	0.1	4	208	90	292	87	293	0.98	LysR substrate binding domain
HTH_1	PF00126.30	60	sp|Q00678|NOCR_AGRFC	-	300	3.7e-18	65.4	0.3	1	1	7.7e-22	7.6e-18	64.4	0.3	2	59	5	62	4	63	0.97	Bacterial regulatory helix-turn-helix protein, lysR family
HTH_1	PF00126.30	60	sp|P0A4T4|OCCR_AGRT4	-	298	5e-15	55.3	0.6	1	1	9.7e-19	9.5e-15	54.4	0.6	1	59	3	61	3	62	0.97	Bacterial regulatory helix-turn-helix protein, lysR family
LysR_substrate	PF03466.23	209	sp|P0A4T4|OCCR_AGRT4	-	298	1.2e-28	100.1	1.4	2	2	1.2e-32	1.2e-28	100.1	1.4	2	174	87	254	86	266	0.92	LysR substrate binding domain
Peripla_BP_1	PF00532.24	279	tr|Q5I3L6|Q5I3L6_ECOLX	-	311	2.5e-44	151.9	0.0	1	1	4.4e-48	2.9e-44	151.7	0.0	2	271	42	301	41	309	0.94	Periplasmic binding proteins and sugar binding domain of LacI family
LacI	PF00356.24	46	tr|Q5I3L6|Q5I3L6_ECOLX	-	311	0.00024	20.9	0.0	1	1	6.3e-08	0.00041	20.2	0.0	20	46	2	28	1	28	0.96	Bacterial regulatory proteins, lacI family
FCD	PF07729.15	125	sp|P31460|DGOR_ECOLI	-	229	4.9e-25	88.5	9.5	1	1	7.4e-29	7.3e-25	87.9	9.5	3	123	99	218	97	220	0.94	FCD domain
GntR	PF00392.24	64	sp|P31460|DGOR_ECOLI	-	229	2.3e-14	52.9	0.1	1	2	5.7e-18	5.6e-14	51.7	0.0	3	64	7	68	5	68	0.95	Bacterial regulatory proteins, gntR family
Peripla_BP_3	PF13377.9	166	sp|P0ACQ0|RBSR_ECOLI	-	330	9e-40	136.8	0.0	1	1	3.5e-43	1.7e-39	135.9	0.0	1	165	169	329	169	330	0.88	Periplasmic binding protein-like domain
LacI	PF00356.24	46	sp|P0ACQ0|RBSR_ECOLI	-	330	3.7e-21	74.8	1.0	1	1	1.3e-24	6.2e-21	74.1	1.0	1	46	3	48	3	48	0.99	Bacterial regulatory proteins, lacI family
MarR_2	PF12802.10	61	tr|Q7X0D9|Q7X0D9_ACIAD	-	159	2.2e-10	40.5	0.0	1	2	1.3e-13	6.5e-10	39.0	0.0	3	61	41	98	39	98	0.96	MarR family
MarR	PF01047.25	59	tr|Q7X0D9|Q7X0D9_ACIAD	-	159	5.4e-10	39.1	0.0	2	2	1.1	5.2e+03	-2.5	0.0	12	32	137	157	135	157	0.74	MarR family
LysR_substrate	PF03466.23	209	tr|H9L457|H9L457_SALTY	-	292	5.8e-45	153.4	0.0	1	1	8.7e-49	8.5e-45	152.8	0.0	2	201	87	287	86	290	0.98	LysR substrate binding domain
HTH_1	PF00126.30	60	tr|H9L457|H9L457_SALTY	-	292	7e-23	80.5	0.2	1	1	1.6e-26	1.5e-22	79.4	0.2	1	60	3	62	3	62	0.98	Bacterial regulatory helix-turn-helix protein, lysR family
Peripla_BP_3	PF13377.9	166	sp|P03023|LACI_ECOLI	-	360	1.2e-31	110.3	1.1	3	3	4.7e-35	2.3e-31	109.4	0.0	1	166	171	329	171	329	0.87	Periplasmic binding protein-like domain
LacI	PF00356.24	46	sp|P03023|LACI_ECOLI	-	360	3.4e-23	81.3	3.2	1	2	4.7e-26	2.3e-22	78.6	2.0	1	46	5	50	5	50	0.99	Bacterial regulatory proteins, lacI family
Autoind_bind	PF03472.18	149	sp|P12746|LUXR_ALIFS	-	250	1.6e-21	76.5	0.0	1	1	3.2e-25	2.1e-21	76.1	0.0	3	126	23	145	21	158	0.93	Autoinducer binding domain
GerE	PF00196.22	57	sp|P12746|LUXR_ALIFS	-	250	2.8e-21	75.0	0.1	1	1	7.9e-25	5.2e-21	74.1	0.1	3	56	183	236	181	237	0.96	Bacterial regulatory proteins, luxR family
AraC_binding	PF02311.22	136	tr|Q8PDI3|Q8PDI3_XANCP	-	298	8.5e-17	61.5	0.9	1	1	2.8e-20	1.4e-16	60.8	0.9	4	135	35	169	32	170	0.80	AraC-like ligand binding domain
HTH_18	PF12833.10	81	tr|Q8PDI3|Q8PDI3_XANCP	-	298	4.1e-19	68.7	1.8	2	2	8.3e-23	4.1e-19	68.7	1.8	1	80	218	296	218	297	0.97	Helix-turn-helix domain
TetR_C_1	PF02909.20	145	tr|Q53901|Q53901_STRCH	-	259	7.5e-47	158.9	0.0	1	1	1.1e-50	1e-46	158.4	0.0	2	143	95	239	92	240	0.97	Tetracyclin repressor-like, C-terminal domain
TetR_N	PF00440.26	47	tr|Q53901|Q53901_STRCH	-	259	2.1e-06	27.5	0.0	1	1	3.9e-10	3.8e-06	26.7	0.0	1	45	36	80	36	82	0.93	Bacterial regulatory proteins, tetR family
LysR_substrate	PF03466.23	209	sp|O68014|BENM_ACIAD	-	304	7.9e-38	130.1	0.0	1	1	1.1e-41	1.1e-37	129.6	0.0	5	205	89	290	86	294	0.95	LysR substrate binding domain
HTH_1	PF00126.30	60	sp|O68014|BENM_ACIAD	-	304	2.3e-23	82.0	0.0	1	2	1.3e-26	1.2e-22	79.7	0.0	1	59	3	61	3	62	0.97	Bacterial regulatory helix-turn-helix protein, lysR family
MarR_2	PF12802.10	61	tr|Q8NSP1|Q8NSP1_CORGL	-	195	8.3e-11	41.9	0.2	2	2	1.1e-13	7.3e-10	38.9	0.0	3	61	73	134	71	134	0.95	MarR family
TetR_N	PF00440.26	47	sp|O33453|CYMR_PSEPU	-	203	1.9e-09	37.3	0.2	1	1	2.1e-13	4.1e-09	36.2	0.2	1	46	19	64	19	65	0.97	Bacterial regulatory proteins, tetR family
TetR_N	PF00440.26	47	tr|Q51597|Q51597_PSEPU	-	186	5.7e-11	42.1	0.0	1	1	1.1e-14	1e-10	41.3	0.0	1	43	7	49	7	53	0.92	Bacterial regulatory proteins, tetR family
Peripla_BP_3	PF13377.9	166	sp|P96711|ARAR_BACSU	-	362	6.5e-34	117.7	0.0	1	1	3.3e-37	1.1e-33	117.0	0.0	1	165	193	356	193	357	0.85	Periplasmic binding protein-like domain
GntR	PF00392.24	64	sp|P96711|ARAR_BACSU	-	362	9.7e-22	76.5	0.0	1	1	5.7e-25	1.8e-21	75.6	0.0	1	64	4	67	4	67	0.99	Bacterial regulatory proteins, gntR family
MarR_2	PF12802.10	61	tr|G2IQU0|G2IQU0_SPHSK	-	172	4.5e-11	42.8	1.3	1	1	1.6e-14	7.9e-11	42.0	1.3	1	61	65	124	65	124	0.96	MarR family
HTH_27	PF13463.9	68	tr|G2IQU0|G2IQU0_SPHSK	-	172	1.8e-08	35.0	0.9	2	2	4	2e+04	-3.8	0.0	29	41	157	169	154	171	0.55	Winged helix DNA-binding domain
MarR_2	PF12802.10	61	tr|S4S3A4|S4S3A4_KITAU	-	165	2.1e-15	56.6	0.8	1	1	1e-18	5e-15	55.4	0.8	2	61	37	94	36	94	0.97	MarR family
Sugar-bind	PF04198.16	257	sp|Q2YIQ4|ERYD_BRUA2	-	316	4.8e-79	265.2	0.1	1	2	0.33	6.5e+03	-3.9	0.0	59	83	17	41	15	42	0.79	Putative sugar-binding domain
Sugar-bind	PF04198.16	257	sp|Q2YIQ4|ERYD_BRUA2	-	316	4.8e-79	265.2	0.1	2	2	3.7e-83	7.2e-79	264.7	0.1	3	256	58	310	56	311	0.99	Putative sugar-binding domain
MarR_2	PF12802.10	61	tr|G2IJ09|G2IJ09_SPHSK	-	158	3.9e-08	33.3	0.0	1	1	6.9e-12	6.8e-08	32.6	0.0	2	60	55	110	54	111	0.91	MarR family
Aminotran_1_2	PF00155.24	363	sp|P94426|GABR_BACSU	-	479	9e-19	68.0	0.0	1	1	1.2e-22	1.2e-18	67.6	0.0	14	315	118	408	109	464	0.84	Aminotransferase class I and II
GntR	PF00392.24	64	sp|P94426|GABR_BACSU	-	479	2.4e-16	59.2	0.2	1	2	7.2e-20	7e-16	57.8	0.0	2	64	17	79	16	79	0.99	Bacterial regulatory proteins, gntR family
MarR_2	PF12802.10	61	tr|D0IZS0|D0IZS0_COMT2	-	200	9.8e-12	44.9	2.7	1	3	2.5e-15	1.2e-11	44.6	0.1	2	60	53	110	52	111	0.98	MarR family
HTH_24	PF13412.9	48	tr|D0IZS0|D0IZS0_COMT2	-	200	0.00082	19.0	0.1	1	2	1.1	5.4e+03	-2.8	0.1	36	42	32	38	32	39	0.82	Winged helix-turn-helix DNA-binding
